inn,name,revenue,site,cat_evidence,source,cat_product,employees,okved_main,collection_date
7736207543,Яндекс,350000000000,https://yandex.ru,Разработка Яндекс.Переводчика и сервисов локализации,company_site,Внутренние CAT-инструменты,18000,62.01,2025-12-10 09:35:23
7730636874,VK,150000000000,https://vk.company,Локализация социальных сетей и сервисов,open_data,Внутренние инструменты локализации,10000,62.01,2025-12-10 09:35:23
7713140469,Лаборатория Касперского,45000000000,https://kaspersky.ru,Локализация антивирусного ПО на 40+ языков,open_data,"Crowdin, внутренние инструменты",4500,62.01,2025-12-10 09:35:23
777636083,СберТех,37672264746,https://сбертех.ru,Локализация ПО для международных рынков,open_data,Smartcat,2583,62.01,2025-12-10 09:35:23
774015047,Цифровые технологии,31138263742,https://цiфровыетехн.ru,Локализация ПО для международных рынков,open_data,SDL Trados,2885,62.01,2025-12-10 09:35:23
4632035460,КРОК,30000000000,https://croc.ru,ИТ-услуги включая локализацию ПО,open_data,Различные CAT-инструменты,4000,62.02,2025-12-10 09:35:23
776363897,Онсек,29323255933,https://онсек.ru,Локализация ПО для международных рынков,open_data,SDL Trados,1678,62.01,2025-12-10 09:35:23
776170888,Наносемантика,28453740199,https://наносемантiк.ru,Локализация ПО для международных рынков,open_data,Smartcat,3348,62.01,2025-12-10 09:35:23
7714017115,1C,25000000000,https://1c.ru,Локализация продуктов для международного рынка,open_data,SDL Trados,5000,62.01,2025-12-10 09:35:23
779961680,Тинькофф Технологии,22958457684,https://тiнькоффтехн.ru,Локализация ПО для международных рынков,open_data,Crowdin,2729,62.01,2025-12-10 09:35:23
779030151,СисАда,16298780601,https://сiсада.ru,Локализация ПО для международных рынков,open_data,SDL Trados,4901,62.01,2025-12-10 09:35:23
777298810,АйТи,16125738401,https://айтi.ru,Локализация ПО для международных рынков,open_data,Внутренние инструменты,4609,62.01,2025-12-10 09:35:23
772235512,Позитив Технолоджис,14653139184,https://позiтiвтехно.ru,Локализация ПО для международных рынков,open_data,Smartcat,3024,62.01,2025-12-10 09:35:23
9728144484,АйТеко,12000000000,https://iteco.ru,Услуги локализации для заказчиков,company_site,"Smartcat, Trados",2500,62.02,2025-12-10 09:35:23
774693857,Рексофт,11654213165,https://рексофт.ru,Локализация ПО для международных рынков,open_data,Smartcat,3952,62.01,2025-12-10 09:35:23
776058351,Гринатом,11172722376,https://грiнатом.ru,Локализация ПО для международных рынков,open_data,Crowdin,282,62.01,2025-12-10 09:35:23
7705013030,ABBYY,8500000000,https://abbyy.ru,"Разработчик ABBYY Aligner, инструментов для переводчиков",company_site,"ABBYY Aligner, FineReader",1200,62.01,2025-12-10 09:35:23
771470896,Ашманов и партнеры,8259222326,https://ашмановiпарт.ru,Локализация ПО для международных рынков,open_data,Crowdin,1056,62.01,2025-12-10 09:35:23
776206234,Эврика,6736351381,https://эврiка.ru,Локализация ПО для международных рынков,open_data,Smartcat,2988,62.01,2025-12-10 09:35:23
772680109,Девтел,3853307058,https://девтел.ru,Локализация ПО для международных рынков,open_data,Crowdin,409,62.01,2025-12-10 09:35:23
TEST_SMART01,Smartcat,3500000000,https://smartcat.ai,Собственная CAT-платформа для переводов,company_site,Smartcat,300,62.01,2025-12-10 09:35:23
7726209527,Альба,3200000000,https://alba.ru,Использование систем памяти переводов,company_site,"SDL Trados, Wordfast",600,74.30,2025-12-10 09:35:23
775803690,РТСофт,2743485934,https://ртсофт.ru,Локализация ПО для международных рынков,open_data,SDL Trados,3976,62.01,2025-12-10 09:35:23
779047129,Инфосистемы Джет,2727672609,https://инфосiстемыд.ru,Локализация ПО для международных рынков,open_data,SDL Trados,3291,62.01,2025-12-10 09:35:23
779375928,Переводческая компания Аспект,2636289697,https://переводческаяко.ru,Использование автоматизированных инструментов перевода,industry_directory,Lokalise,489,74.30,2025-12-10 09:35:23
777323459,Бюро Квалитет,2566130357,https://бюроквалитет.ru,Применение памяти переводов в рабочих процессах,industry_directory,Déjà Vu,53,74.30,2025-12-10 09:35:23
7714480027,ТрансЛинк,2500000000,https://translink.ru,Использование SDL Trados и memoQ в описании услуг,company_site,"SDL Trados, memoQ",500,74.30,2025-12-10 09:35:23
771825121,Лингвистический центр Версия,2351777537,https://лингвистический.ru,Внедрение систем управления переводами (TMS),industry_directory,Lokalise,77,74.30,2025-12-10 09:35:23
TEST_CROW01,Crowdin,2200000000,https://crowdin.com,Платформа для локализации ПО,company_site,Crowdin,150,62.01,2025-12-10 09:35:23
772324659,Центр переводов Интерлингва,2199126792,https://центрпереводови.ru,Внедрение систем управления переводами (TMS),industry_directory,Phrase,28,74.30,2025-12-10 09:35:23
TEST_PRIMA01,Прима Виста,2100000000,https://primavista.ru,Специализация на локализации с CAT,company_site,"SDL Trados, Memsource",350,74.30,2025-12-10 09:35:23
TEST_LOK01,Lokalise,1800000000,https://lokalise.com,Платформа для управления локализацией,company_site,Lokalise,200,62.01,2025-12-10 09:35:23
7710140679,Лингватек,1800000000,https://lingvatec.ru,Упоминание Translation Memory и CAT-инструментов,company_site,"Smartcat, Memsource",350,74.30,2025-12-10 09:35:23
778579938,Локализация Глобал,1626589762,https://локализацияглоб.ru,Внедрение систем управления переводами (TMS),industry_directory,Crowdin,135,74.30,2025-12-10 09:35:23
772459450,Бюро переводов Гектор,1577785412,https://бюропереводовге.ru,Локализация продуктов с помощью CAT-инструментов,industry_directory,Несколько CAT-систем,422,74.30,2025-12-10 09:35:23
771828789,Лингвистические услуги Профи,1515301395,https://лингвистические.ru,Работа с терминологическими базами и памятью переводов,industry_directory,OmegaT,285,74.30,2025-12-10 09:35:23
TEST_MEM01,Memsource,1500000000,https://memsource.com,Облачная CAT-платформа,company_site,Memsource,180,62.01,2025-12-10 09:35:23
7736199839,Фларус,1500000000,https://flarus.ru,Внедрение CAT-систем для клиентов,company_site,"Smartcat, Crowdin",280,74.30,2025-12-10 09:35:23
773451812,Лингвистический центр Полиглот,1449093538,https://лингвистический.ru,Внедрение систем управления переводами (TMS),industry_directory,Déjà Vu,132,74.30,2025-12-10 09:35:23
779402092,Переводы Престиж,1356185828,https://переводыпрестиж.ru,Внедрение систем управления переводами (TMS),industry_directory,SDL Trados,94,74.30,2025-12-10 09:35:23
771185429,Переводческая компания Диалог,1342464305,https://переводческаяко.ru,Применение систем контроля качества перевода (QA),industry_directory,SDL Trados,111,74.30,2025-12-10 09:35:23
TEST_ITREX01,iTrex,1300000000,https://itrex.ru,Бюро переводов с использованием CAT,company_site,"Smartcat, Trados",220,74.30,2025-12-10 09:35:23
775374769,Бюро Мир переводов,1229358589,https://бюромирпереводо.ru,Использование CAT-систем для локализации ПО,industry_directory,Crowdin,86,74.30,2025-12-10 09:35:23
7708503727,ПРОМТ,1200000000,https://promt.ru,Разработка систем машинного перевода PROMT,company_site,PROMT Translation Server,300,62.01,2025-12-10 09:35:23
773133771,Агентство Языковые решения,1166494724,https://агентствоязыков.ru,Работа с терминологическими базами и памятью переводов,industry_directory,Несколько CAT-систем,129,74.30,2025-12-10 09:35:23
5027235200,НеоТекст,1100000000,https://neotext.ru,Локализация ПО с использованием CAT-инструментов,company_site,"memoQ, Trados",250,74.30,2025-12-10 09:35:23
772181990,Бюро ТрансЛэнг,1018594669,https://бюротранслэнг.ru,Применение систем контроля качества перевода (QA),industry_directory,Déjà Vu,409,74.30,2025-12-10 09:35:23
7813385991,Лингвостар,950000000,https://lingvostar.ru,Использование CAT-инструментов в работе,company_site,"Trados, memoQ",180,74.30,2025-12-10 09:35:23
778733394,Переводы Экспресс,870537248,https://переводыэкспрес.ru,Применение систем контроля качества перевода (QA),industry_directory,SDL Trados,151,74.30,2025-12-10 09:35:23
779890473,Лингва-сервис Оптима,769944493,https://лингва-сервисоп.ru,Использование специализированного ПО для переводчиков,industry_directory,Внутренние инструменты,443,74.30,2025-12-10 09:35:23
774623720,Переводы Альянс,573402060,https://переводыальянс.ru,Использование облачных платформ для перевода,industry_directory,Несколько CAT-систем,402,74.30,2025-12-10 09:35:23
774172720,Агентство переводов Эксперт,545877703,https://агентствоперево.ru,Применение памяти переводов в рабочих процессах,industry_directory,Внутренние инструменты,303,74.30,2025-12-10 09:35:23
771003196,Переводческая фирма Акцент,424974223,https://переводческаяфи.ru,Использование специализированного ПО для переводчиков,industry_directory,Crowdin,363,74.30,2025-12-10 09:35:23
776130341,Бюро Лингвакон,384714819,https://бюролингвакон.ru,Работа с терминологическими базами и памятью переводов,industry_directory,OmegaT,43,74.30,2025-12-10 09:35:23
772155801,Агентство Точный перевод,339675008,https://агентствоточный.ru,Работа с терминологическими базами и памятью переводов,industry_directory,Déjà Vu,162,74.30,2025-12-10 09:35:23
